# frame  pts  resid  clusters  cz_m
    1   14499  14499    1  2.4913
    2   14412  14412    1  2.4933
    3   14525  14525    2  2.4919
    4   14463  14463    1  2.4914
    5   14451  14451    1  2.4920
    6   14480  14480    1  2.4913
    7   14475  14475    2  2.4930
    8   14451  14451    1  2.4917
    9   14416  14416    1  2.4918
   10   14491  14491    1  2.4936
   11   14499  14499    1  2.4944
   12   14500  14500    1  2.4935
   13   14568  14568    1  2.4925
   14   14392  14392    1  2.4926
   15   14480  14480    2  2.4916
   16   14491  14491    1  2.4919
   17   14534  14534    1  2.4930
   18   14569  14569    1  2.4932
   19   14456  14456    2  2.4920
   20   14390  14390    2  2.4930
   21   14423  14423    1  2.4930
   22   14376  14376    1  2.4933
   23   14419  14419    1  2.4944
   24   14442  14442    1  2.4953
   25   14440  14440    1  2.4937
   26   14517  14517    1  2.4936
   27   14412  14412    1  2.4936
   28   14492  14492    1  2.4933
   29   14426  14426    1  2.4943
   30   14486  14486    2  2.4941
   31   14505  14505    1  2.4924
   32   14509  14509    2  2.4929
   33   14473  14473    1  2.4927
   34   14493  14493    1  2.4918
   35   14575  14575    2  2.4908
   36   14537  14537    1  2.4919
   37   14496  14496    2  2.4908
   38   14529  14529    1  2.4909
   39   14552  14552    1  2.4929
   40   14508  14508    1  2.4920
   41   14460  14460    2  2.4926
   42   14470  14470    1  2.4930
   43   14393  14393    1  2.4929
   44   14384  14384    1  2.4921
   45   14412  14412    2  2.4924
   46   14401  14401    1  2.4947
   47   14457  14457    1  2.4936
   48   14455  14455    2  2.4930
   49   14403  14403    1  2.4932
   50   14385  14385    1  2.4943
   51   14410  14410    1  2.4930
   52   14506  14506    1  2.4933
   53   14442  14442    1  2.4950
   54   14472  14472    1  2.4927
   55   14481  14481    2  2.4910
   56   14409  14409    2  2.4903
   57   14432  14432    1  2.4910
   58   14462  14462    1  2.4923
   59   14416  14416    1  2.4938
   60   14479  14479    1  2.4936
   61   14482  14482    1  2.4923
   62   14432  14432    1  2.4915
   63   14406  14406    2  2.4933
   64   14461  14461    1  2.4946
   65   14433  14433    2  2.4940
   66   14500  14500    1  2.4939
   67   14476  14476    1  2.4948
   68   14476  14476    1  2.4927
   69   14507  14507    1  2.4940
   70   14450  14450    1  2.4933
   71   14438  14438    1  2.4941
   72   14428  14428    1  2.4935
   73   14431  14431    1  2.4913
   74   14477  14477    1  2.4909
   75   14564  14564    1  2.4919
   76   14526  14526    1  2.4921
   77   14517  14517    2  2.4923
   78   14523  14523    1  2.4910
   79   14481  14481    3  2.4896
   80   14534  14534    2  2.4898
   81   14621  14621    2  2.4910
   82   14551  14551    1  2.4889
   83   14542  14542    1  2.4892
   84   14546  14546    2  2.4897
   85   14548  14548    1  2.4905
   86   14578  14578    1  2.4910
   87   14488  14488    1  2.4906
   88   14470  14470    1  2.4907
   89   14524  14524    1  2.4900
   90   14556  14556    1  2.4877
   91   14553  14553    1  2.4883
   92   14569  14569    2  2.4896
   93   14492  14492    1  2.4888
   94   14512  14512    1  2.4897
   95   14543  14543    1  2.4902
   96   14500  14500    1  2.4911
   97   14458  14458    1  2.4923
   98   14559  14559    1  2.4913
   99   14535  14535    2  2.4913
  100   14439  14439    1  2.4905
  101   14473  14473    1  2.4926
  102   14384  14384    1  2.4922
  103   14493  14493    2  2.4948
  104   14414  14414    1  2.4934
  105   14516  14516    1  2.4955
  106   14484  14484    1  2.4914
  107   14495  14495    1  2.4935
  108   14439  14439    1  2.4957
  109   14427  14427    1  2.4932
  110   14537  14537    1  2.4937
  111   14445  14445    1  2.4927
  112   14467  14467    1  2.4937
  113   14499  14499    2  2.4936
  114   14423  14423    1  2.4952
  115   14528  14528    2  2.4937
  116   14426  14426    1  2.4933
  117   14427  14427    2  2.4936
  118   14509  14509    1  2.4935
  119   14393  14393    1  2.4916
  120   14534  14534    1  2.4925
  121   14535  14535    1  2.4928
  122   14545  14545    1  2.4932
  123   14482  14482    1  2.4924
  124   14608  14608    1  2.4929
  125   14557  14557    1  2.4926
  126   14481  14481    1  2.4943
  127   14556  14556    1  2.4933
  128   14559  14559    1  2.4932
  129   14483  14483    1  2.4887
  130   14574  14574    1  2.4941
  131   14549  14549    1  2.4914
  132   14537  14537    1  2.4946
  133   14612  14612    2  2.4931
  134   14621  14621    1  2.4922
  135   14586  14586    2  2.4917
  136   14558  14558    1  2.4915
  137   14556  14556    1  2.4922
  138   14587  14587    2  2.4931
  139   14572  14572    1  2.4924
  140   14566  14566    1  2.4939
  141   14609  14609    1  2.4921
  142   14601  14601    2  2.4933
  143   14558  14558    1  2.4911
  144   14592  14592    1  2.4903
  145   14607  14607    1  2.4909
  146   14585  14585    1  2.4906
  147   14596  14596    1  2.4924
  148   14533  14533    1  2.4905
  149   14552  14552    1  2.4916
  150   14558  14558    2  2.4927
